timestamp,setup,trigger,tipo,entry,stop,target,uscita,esito,pnl
2026-05-18 09:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,740.88,737.97,746.7,737.97,STOP,-2.91
2026-05-18 12:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.8,735.06,740.28,735.06,STOP,-1.74
2026-05-18 15:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.41,734.2,740.83,734.2,STOP,-2.21
2026-05-18 15:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.41,733.89,741.45,733.89,STOP,-2.52
2026-05-19 13:35:00-04:00,OB_ENGULFING,ENGULFING,LONG,737.22,732.62,746.42,732.62,STOP,-4.6
2026-05-20 09:40:00-04:00,OB_RETEST,WICK+CLOSE,LONG,735.98,734.29,739.36,734.29,STOP,-1.69
2026-05-20 10:10:00-04:00,OB_ENGULFING,ENGULFING,LONG,735.3,733.75,738.4,738.4,TARGET,3.1
2026-05-20 10:10:00-04:00,OB_ENGULFING,ENGULFING,LONG,735.3,732.77,740.36,740.36,TARGET,5.06
2026-05-20 10:15:00-04:00,OB_RETEST,WICK+CLOSE,LONG,737.32,734.27,743.42,743.42,TARGET,6.1
2026-05-20 10:15:00-04:00,OB_RETEST,WICK+CLOSE,LONG,737.32,735.04,741.88,741.88,TARGET,4.56
2026-05-20 10:15:00-04:00,OB_RETEST,WICK+CLOSE,LONG,737.32,734.58,742.8,742.8,TARGET,5.48
2026-05-21 09:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,739.63,737.52,743.85,737.52,STOP,-2.11
2026-05-26 10:35:00-04:00,OB_ENGULFING,ENGULFING,LONG,751.72,745.5,764.15,745.5,STOP,-6.22
2026-05-28 10:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,750.64,749.48,752.96,752.96,TARGET,2.32
2026-05-28 09:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,749.82,749.23,751.0,751.0,TARGET,1.18
2026-05-29 10:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,755.83,754.7,758.09,754.7,STOP,-1.13
2026-06-01 13:25:00-04:00,OB_RETEST,WICK+CLOSE,LONG,758.51,757.42,760.69,757.42,STOP,-1.09
2026-06-01 13:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,757.61,757.02,758.79,758.79,TARGET,1.18
2026-06-02 10:40:00-04:00,OB_RETEST,WICK+CLOSE,LONG,758.91,757.76,761.21,757.76,STOP,-1.15
2026-06-04 10:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,754.21,753.5,755.63,755.63,TARGET,1.42
2026-06-05 15:25:00-04:00,OB_RETEST,WICK+CLOSE,LONG,738.45,736.91,741.53,741.53,TARGET,3.08
2026-06-08 09:50:00-04:00,OB_ENGULFING,ENGULFING,LONG,743.2,737.0,755.6,737.0,STOP,-6.2
2026-06-08 10:30:00-04:00,OB_RETEST,WICK+CLOSE,LONG,742.87,741.42,745.77,741.42,STOP,-1.45
2026-06-09 10:15:00-04:00,OB_RETEST,WICK+CLOSE,LONG,740.12,738.41,743.54,738.41,STOP,-1.71
2026-06-09 13:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,728.39,722.94,739.29,739.29,TARGET,10.9
2026-06-09 13:10:00-04:00,OB_ENGULFING,ENGULFING,LONG,728.6,723.62,738.55,738.55,TARGET,9.95
2026-06-09 14:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,733.59,730.96,738.85,730.96,STOP,-2.63
2026-06-09 14:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.74,734.3,741.62,734.3,STOP,-2.44
2026-06-10 10:20:00-04:00,OB_ENGULFING,ENGULFING,LONG,738.22,733.49,747.67,733.49,STOP,-4.73
2026-06-10 10:20:00-04:00,OB_ENGULFING,ENGULFING,LONG,738.22,733.52,747.61,733.52,STOP,-4.7
2026-06-10 10:20:00-04:00,OB_ENGULFING,ENGULFING,LONG,738.22,731.78,751.08,731.78,STOP,-6.44
2026-06-10 13:45:00-04:00,OB_RETEST,WICK+CLOSE,LONG,730.33,728.43,734.12,728.43,STOP,-1.9
2026-06-10 13:45:00-04:00,OB_RETEST,WICK+CLOSE,LONG,730.33,728.1,734.78,728.1,STOP,-2.23
2026-06-11 10:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,729.16,726.33,734.83,726.33,STOP,-2.83
2026-06-11 10:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,729.16,725.33,736.82,725.33,STOP,-3.83
2026-06-11 09:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,731.04,727.08,738.95,727.08,STOP,-3.96
2026-06-11 11:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,728.25,725.11,734.53,734.53,TARGET,6.28
2026-06-11 12:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,729.04,727.18,732.76,727.18,STOP,-1.86
2026-06-11 12:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,729.04,727.01,733.1,727.01,STOP,-2.03
2026-06-11 13:25:00-04:00,OB_RETEST,WICK+CLOSE,LONG,732.52,727.08,743.4,743.4,TARGET,10.88
2026-06-11 13:25:00-04:00,OB_RETEST,WICK+CLOSE,LONG,732.52,726.5,744.56,744.56,TARGET,12.04
2026-06-12 10:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,740.21,737.93,744.77,737.93,STOP,-2.28
2026-06-12 09:35:00-04:00,OB_RETEST,WICK+CLOSE,LONG,739.24,737.52,742.68,737.52,STOP,-1.72
2026-06-12 10:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,740.21,735.81,749.01,749.01,TARGET,8.8
2026-06-12 10:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,741.68,738.91,747.21,738.91,STOP,-2.77
2026-06-12 10:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,741.68,737.93,749.18,749.18,TARGET,7.5
2026-06-15 10:15:00-04:00,OB_ENGULFING,ENGULFING,LONG,753.3,740.5,778.9,740.5,STOP,-12.8
2026-06-17 14:35:00-04:00,OB_RETEST,WICK+CLOSE,LONG,748.03,745.97,752.16,745.97,STOP,-2.06
2026-06-18 09:45:00-04:00,OB_RETEST,WICK+CLOSE,LONG,745.2,741.79,752.02,741.79,STOP,-3.41
2026-06-18 10:15:00-04:00,OB_ENGULFING,ENGULFING,LONG,746.16,740.79,756.9,740.79,STOP,-5.37
2026-06-23 11:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,735.87,734.59,738.43,734.59,STOP,-1.28
2026-06-24 10:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.27,733.76,741.29,733.76,STOP,-2.51
2026-06-24 10:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.27,734.6,739.61,739.61,TARGET,3.34
2026-06-24 09:50:00-04:00,OB_RETEST,WICK+CLOSE,LONG,737.3,733.5,744.9,733.5,STOP,-3.8
2026-06-25 10:05:00-04:00,OB_RETEST,WICK+CLOSE,LONG,734.91,730.5,743.73,730.5,STOP,-4.41
2026-06-25 14:15:00-04:00,OB_RETEST,WICK+CLOSE,LONG,734.82,732.52,739.42,732.52,STOP,-2.3
2026-06-25 13:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,733.45,731.66,737.03,731.66,STOP,-1.79
2026-06-25 14:15:00-04:00,OB_RETEST,WICK+CLOSE,LONG,734.82,731.38,741.7,731.38,STOP,-3.44
2026-06-26 11:20:00-04:00,OB_RETEST,WICK+CLOSE,LONG,733.8,731.94,737.52,731.94,STOP,-1.86
2026-06-26 12:30:00-04:00,OB_RETEST,WICK+CLOSE,LONG,734.63,732.74,738.41,732.74,STOP,-1.89
2026-06-29 09:40:00-04:00,OB_ENGULFING,ENGULFING,LONG,739.24,732.28,753.16,732.28,STOP,-6.96
2026-06-29 10:30:00-04:00,OB_RETEST,WICK+CLOSE,LONG,737.4,734.65,742.9,742.9,TARGET,5.5
2026-06-29 10:25:00-04:00,OB_RETEST,WICK+CLOSE,LONG,736.07,732.7,742.81,742.81,TARGET,6.74
2026-06-29 14:00:00-04:00,OB_ENGULFING,ENGULFING,LONG,740.61,738.62,744.59,744.59,TARGET,3.98
2026-07-01 09:55:00-04:00,OB_RETEST,WICK+CLOSE,LONG,745.32,742.5,750.96,750.96,TARGET,5.64
2026-07-01 11:00:00-04:00,OB_RETEST,WICK+CLOSE,LONG,747.78,746.02,751.3,746.02,STOP,-1.76
